rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,75282,11398,Python,https://github.com/langchain-ai/langchain,langchain-ai,1877,2024-01-29T03:09:02Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt4all,60482,6781,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,312,2024-01-26T22:13:59Z,gpt4all: open-source LLM chatbots that you can run anywhere
3,LLM,gpt_academic,51197,6656,Python,https://github.com/binary-husky/gpt_academic,binary-husky,163,2024-01-29T03:07:12Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
4,LLM,ollama,33845,2231,Go,https://github.com/ollama/ollama,ollama,416,2024-01-29T02:45:30Z,"Get up and running with Llama 2, Mistral, and other large language models locally."
5,LLM,MetaGPT,33800,4016,Python,https://github.com/geekan/MetaGPT,geekan,173,2024-01-29T02:21:27Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
6,LLM,quivr,27524,3143,TypeScript,https://github.com/StanGirard/quivr,StanGirard,50,2024-01-29T01:15:57Z,"Your GenAI Second Brain 🧠  A personal productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, that you can share with users !  Local & Private alternative to OpenAI GPTs & ChatGPT powered by retrieval-augmented generation."
7,LLM,llama_index,27332,3504,Python,https://github.com/run-llama/llama_index,run-llama,369,2024-01-29T02:36:10Z,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications
8,LLM,milvus,25269,2689,Go,https://github.com/milvus-io/milvus,milvus-io,491,2024-01-29T03:15:51Z,"A cloud-native vector database, storage for next generation AI applications"
9,LLM,Mr.-Ranedeer-AI-Tutor,23622,2724,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,10,2023-11-18T21:18:14Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
10,LLM,JARVIS,22560,1962,Python,https://github.com/microsoft/JARVIS,microsoft,71,2024-01-15T03:26:37Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
11,LLM,llm-course,21815,2090,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,17,2024-01-28T18:09:36Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
