rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,74976,5603,Go,https://github.com/ollama/ollama,ollama,821,2024-06-22T15:08:49Z,"Get up and running with Llama 3, Mistral, Gemma, and other large language models."
2,LLM,gpt4all,65993,7263,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,422,2024-06-23T00:06:06Z,GPT4All: Chat with Local LLMs on Any Device
3,LLM,gpt_academic,60683,7569,Python,https://github.com/binary-husky/gpt_academic,binary-husky,266,2024-06-19T12:56:33Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
4,LLM,llama.cpp,60607,8638,C++,https://github.com/ggerganov/llama.cpp,ggerganov,328,2024-06-23T00:57:45Z,LLM inference in C/C++
5,LLM,MetaGPT,41130,4901,Python,https://github.com/geekan/MetaGPT,geekan,267,2024-06-22T06:59:01Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
6,LLM,dify,34803,4669,TypeScript,https://github.com/langgenius/dify,langgenius,246,2024-06-23T01:44:44Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
7,LLM,quivr,33882,3319,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,73,2024-06-22T21:35:11Z,"Open-source RAG Framework for building GenAI Second Brains 🧠  Build productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Efficient retrieval augmented generation framework"
8,LLM,lobe-chat,33399,7859,TypeScript,https://github.com/lobehub/lobe-chat,lobehub,338,2024-06-23T02:25:21Z,"🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Bedrock / Azure / Mistral / Perplexity ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application."
9,LLM,llm-course,33363,3466,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,38,2024-06-11T14:28:33Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
10,LLM,llama_index,32903,4568,Python,https://github.com/run-llama/llama_index,run-llama,636,2024-06-22T22:35:22Z,LlamaIndex is a data framework for your LLM applications
11,LLM,Langchain-Chatchat,29181,5126,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,73,2024-06-22T21:34:18Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
