rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,70088,5126,Go,https://github.com/ollama/ollama,ollama,759,2024-05-30T01:22:08Z,"Get up and running with Llama 3, Mistral, Gemma, and other large language models."
2,LLM,gpt4all,65435,7217,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,398,2024-05-29T21:04:37Z,gpt4all: run open-source LLMs anywhere
3,LLM,gpt_academic,59657,7467,Python,https://github.com/binary-husky/gpt_academic,binary-husky,248,2024-05-29T16:06:32Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
4,LLM,llama.cpp,59216,8421,C++,https://github.com/ggerganov/llama.cpp,ggerganov,339,2024-05-30T02:55:07Z,LLM inference in C/C++
5,LLM,MetaGPT,40365,4794,Python,https://github.com/geekan/MetaGPT,geekan,243,2024-05-29T12:28:59Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
6,LLM,quivr,33452,3273,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,80,2024-05-29T20:32:09Z,"Your GenAI Second Brain 🧠  A personal productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Local & Private alternative to OpenAI GPTs & ChatGPT powered by retrieval-augmented generation."
7,LLM,llama_index,32165,4420,Python,https://github.com/run-llama/llama_index,run-llama,709,2024-05-30T03:12:46Z,LlamaIndex is a data framework for your LLM applications
8,LLM,llm-course,32021,3308,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,35,2024-05-25T16:03:07Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
9,LLM,lobe-chat,31827,7570,TypeScript,https://github.com/lobehub/lobe-chat,lobehub,299,2024-05-30T00:24:51Z,"🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Bedrock / Azure / Mistral / Perplexity ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application."
10,LLM,dify,31495,4162,TypeScript,https://github.com/langgenius/dify,langgenius,201,2024-05-30T03:18:59Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
11,LLM,Langchain-Chatchat,28516,5001,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,131,2024-05-30T01:29:16Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
12,LLM,milvus,27502,2648,Go,https://github.com/milvus-io/milvus,milvus-io,665,2024-05-30T03:15:12Z,"A cloud-native vector database, storage for next generation AI applications"
