rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,74678,5570,Go,https://github.com/ollama/ollama,ollama,831,2024-06-21T02:04:21Z,"Get up and running with Llama 3, Mistral, Gemma, and other large language models."
2,LLM,gpt4all,65943,7260,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,418,2024-06-20T22:41:32Z,GPT4All: Chat with Local LLMs on Any Device
3,LLM,gpt_academic,60639,7569,Python,https://github.com/binary-husky/gpt_academic,binary-husky,264,2024-06-19T12:56:33Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
4,LLM,llama.cpp,60534,8623,C++,https://github.com/ggerganov/llama.cpp,ggerganov,338,2024-06-21T02:49:21Z,LLM inference in C/C++
5,LLM,MetaGPT,41083,4894,Python,https://github.com/geekan/MetaGPT,geekan,266,2024-06-21T02:36:09Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
6,LLM,dify,34609,4635,TypeScript,https://github.com/langgenius/dify,langgenius,250,2024-06-21T03:18:53Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
7,LLM,quivr,33858,3316,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,76,2024-06-20T15:29:44Z,"Open-source RAG Framework for building GenAI Second Brains 🧠  Build productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Efficient retrieval augmented generation framework"
8,LLM,llm-course,33293,3461,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,39,2024-06-11T14:28:33Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
9,LLM,lobe-chat,33092,7813,TypeScript,https://github.com/lobehub/lobe-chat,lobehub,331,2024-06-21T02:44:36Z,"🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Bedrock / Azure / Mistral / Perplexity ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application."
10,LLM,llama_index,32844,4556,Python,https://github.com/run-llama/llama_index,run-llama,645,2024-06-21T02:21:14Z,LlamaIndex is a data framework for your LLM applications
11,LLM,Langchain-Chatchat,29116,5105,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,61,2024-06-20T23:26:42Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
12,LLM,open-webui,28411,3051,Svelte,https://github.com/open-webui/open-webui,open-webui,117,2024-06-21T00:54:44Z,User-friendly WebUI for LLMs (Formerly Ollama WebUI)
13,LLM,milvus,27866,2683,Go,https://github.com/milvus-io/milvus,milvus-io,699,2024-06-21T02:54:46Z,"A cloud-native vector database, storage for next generation AI applications"
14,LLM,Mr.-Ranedeer-AI-Tutor,27725,3195,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,11,2024-03-25T13:06:55Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
15,LLM,OpenDevin,27644,3148,Python,https://github.com/OpenDevin/OpenDevin,OpenDevin,150,2024-06-21T03:17:20Z,"🐚 OpenDevin: Code Less, Make More"
16,LLM,chatgpt-on-wechat,27449,7329,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,380,2024-06-20T12:41:37Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT3.5/GPT-4o/GPT4.0/ Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Claude/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
17,LLM,Flowise,26760,13734,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,357,2024-06-20T23:08:05Z,Drag & drop UI to build your customized LLM flow
18,LLM,ChatTTS,25317,2730,Python,https://github.com/2noise/ChatTTS,2noise,210,2024-06-20T15:48:37Z,A generative speech model for daily dialogue.
19,LLM,LLaMA-Factory,24691,3047,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,72,2024-06-20T14:56:12Z,Unify Efficient Fine-Tuning of 100+ LLMs
20,LLM,ChatDev,24182,3022,Shell,https://github.com/OpenBMB/ChatDev,OpenBMB,17,2024-06-21T02:13:01Z,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration)
21,LLM,JARVIS,23265,1929,Python,https://github.com/microsoft/JARVIS,microsoft,73,2024-04-24T01:38:16Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
